CCS,Adduct,SMILES
212.9,[M-H]-,O=C(N(Cc1nc2ccccc2c(=O)[nH]1)C)c1cc(c(s1)N1CCOCC1)c1ccccc1
179.07,[M+H]+,CCOC(=O)c1sc(nc1C)NC(=O)C=Cc1cscc1
188.15,[M-H]-,CCOc1ncccc1C(=O)Nc1nnc(s1)Cc1ccccc1
188.67,[M+H]+,CCNC(=O)NC(=O)C(Sc1nnc(n1C1CC1)c1cccs1)C
209.93,[M+Na]+,CCOc1ccc(cc1)CN(C(=O)CN1C(=O)NC(C1=O)(c1ccccc1)c1ccccc1)C
187.6,[M-H]-,Clc1cccc(c1C)NCCn1cnc2c1c(=O)n(C)c(=O)n2C
192.92,[M+H]+,O=C(N1CCOC1=O)CSc1nnc(n1C1CC1)c1c[nH]c2c1cccc2
276.21,[M-H]-,C(O)(=O)[C@@]([H])(N)COP(OC[C@]([H])(OC(CCCCCCC/C=C\C/C=C\C/C=C\CC)=O)COC(CCCCCC/C=C\C/C=C\C/C=C\CCCCC)=O)(=O)O
225.57,[M-H]-,Fc1ccc(cc1)c1nc2ccccc2c(c1)C(=O)NCc1ccc(cc1)C(=O)N1CCOCC1
206.3,[M-H]-,CN(C(=O)CSc1nnc(n1c1ccccc1)c1c[nH]c2c1cccc2)Cc1ccccc1
195.82,[M+H]+,O=C(Nc1ccccc1Cc1ccccc1)CSc1nnnn1c1ccccc1C
182.32,[M+H]+,CCOc1ncccc1CNC(=O)C12CC3CC(C2)CC(C1)C3
185.93,[M+H]+,O=C(C(Sc1nnc([nH]1)N)C)Nc1ccccc1c1ccccc1
179.47,[M+Na]+,OC(=O)C1CCCN(C1)C(=O)c1ccc(c(c1)Cl)Cl
193.63,[M+Na]+,CC(N(C(=O)c1cc2cc(C)ccc2nc1C)C1CC1)C1CC1
207.35,[M+Na]+,Cc1nn(c(c1C(=O)N1CCN(CC1)S(=O)(=O)c1cccs1)C)c1ccccc1
235.1,[M+H]+,[H][C@@](O)(COC(=O)CC\C=C/C\C=C/C\C=C/C=C/CC\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C
187.9,[M-H]-,COC(=O)Cc1cc(=O)[nH]c(n1)SCC(=O)N1CCc2c1cccc2
210.88,[M+H]+,Clc1ccc2c(c1)nc(n(c2=O)CC1CCCO1)SC(C(=O)N1CCCC1)c1ccccc1
176.82,[M+H]+,CCN(C(Cc1ccccc1)CNC(=O)C1CCCO1)CC
192.26,[M+Na]+,CCC(NC(=O)CN1C(=O)NC(C1=O)(C)c1cccc2c1cccc2)C
183.17,[M+Na]+,COC(=O)C1CC(CN1S(=O)(=O)c1ccc2c(c1)cccc2)O
188.05,[M-H]-,O=C(Nc1ccccc1c1ccccc1)Nc1cccc(c1)C
164.45,[M+Na]+,CCC(c1ccccc1)CNC(=O)C1CCC1
194.82,[M+H]+,CC(=O)NCc1ccc(o1)C(=O)C(OC(=O)c1cc2c(s1)cccc2)C
176.91,[M-H]-,COc1cc(C=CC(=O)Nc2cccnc2)ccc1OC
218.27,[M-H]-,O=C1CCCN1Cc1ccc(cc1)C(=O)N1CCN(CC1)S(=O)(=O)c1ccc2c(c1)CCCC2
